chapter,italian,chinese,pronunciation,example_it,example_zh,note,image,source_name,source_url,license_note,copyright_status,word_id
行驶规则,distanza di sicurezza,安全距离,di-STAN-tsa di si-ku-RET-tsa,Mantenere la distanza di sicurezza dal veicolo che precede.,与前车保持安全距离。,,,,,,no_image,WORD_000015
行驶规则,velocita',速度,ve-lo-chi-TA,La velocita' deve essere adeguata alle condizioni della strada.,速度必须适应道路情况。,,,,,,no_image,WORD_000016
行驶规则,limite di velocita',限速,LI-mi-te di ve-lo-chi-TA,Il limite di velocita' non deve essere superato.,不得超过限速。,,,,,,no_image,WORD_000017
行驶规则,frenata,制动 / 刹车,fre-NA-ta,Una frenata brusca puo' causare pericolo.,急刹车可能造成危险。,,,,,,no_image,WORD_000018
行驶规则,svolta,转弯,ZVOL-ta,Prima della svolta bisogna segnalare la manovra.,转弯前必须示意操作。,,,,,,no_image,WORD_000019
行驶规则,retromarcia,倒车,re-tro-MAR-cha,La retromarcia deve essere effettuata con prudenza.,倒车必须谨慎进行。,,,,,,no_image,WORD_000020
安全与风险,prudenza,谨慎,pru-DEN-tsa,Guidare con prudenza riduce il rischio di incidenti.,谨慎驾驶可以降低事故风险。,,,,,,no_image,WORD_000021
安全与风险,pericolo,危险,pe-RI-ko-lo,In caso di pericolo bisogna rallentare.,遇到危险时要减速。,,,,,,no_image,WORD_000022
安全与风险,incidente,事故,in-chi-DEN-te,Dopo un incidente bisogna prestare soccorso.,事故后必须提供救助。,,,,,,no_image,WORD_000023
安全与风险,soccorso,救助,sok-KOR-so,Omettere il soccorso e' un comportamento grave.,不提供救助是严重行为。,,,,,,no_image,WORD_000024
安全与风险,visibilita',能见度,vi-zi-bi-li-TA,Con scarsa visibilita' bisogna accendere le luci.,能见度低时必须开灯。,,,,,,no_image,WORD_000025
安全与风险,aderenza,附着力 / 抓地力,a-de-REN-tsa,La pioggia riduce l'aderenza degli pneumatici.,雨水会降低轮胎抓地力。,,,,,,no_image,WORD_000026
安全与风险,aquaplaning,水滑,A-kwa-pla-ning,L'aquaplaning puo' far perdere il controllo del veicolo.,水滑可能导致车辆失控。,,,,,,no_image,WORD_000027
安全与风险,stanchezza,疲劳,stan-KET-tsa,La stanchezza diminuisce l'attenzione alla guida.,疲劳会降低驾驶注意力。,,,,,,no_image,WORD_000028
安全与风险,alcool,酒精,AL-kol,Guidare sotto l'effetto dell'alcool e' vietato.,酒后驾驶是禁止的。,,,,,,no_image,WORD_000029
安全与风险,cintura di sicurezza,安全带,chin-TU-ra di si-ku-RET-tsa,La cintura di sicurezza deve essere sempre allacciata.,必须始终系好安全带。,,,,,,no_image,WORD_000030
车辆部件,fari,车灯,FA-ri,Accendere i fari quando la visibilita' e' ridotta.,能见度降低时打开车灯。,,,,,,no_image,WORD_000031
车辆部件,indicatori di direzione,转向灯,in-di-ka-TO-ri di di-re-TSYO-ne,Gli indicatori di direzione segnalano la manovra.,转向灯用于提示驾驶操作。,也叫 frecce,,,,,no_image,WORD_000032
车辆部件,pneumatici,轮胎,pneu-MA-ti-chi,Controllare periodicamente la pressione degli pneumatici.,定期检查轮胎气压。,,,,,,no_image,WORD_000033
车辆部件,freni,刹车系统,FRE-ni,I freni devono essere sempre efficienti.,刹车系统必须始终有效。,,,,,,no_image,WORD_000034
车辆部件,specchietti,后视镜,spek-KYET-ti,Regolare gli specchietti prima di partire.,出发前调整后视镜。,,,,,,no_image,WORD_000035
车辆部件,clacson,喇叭,KLAK-son,Il clacson si usa solo in caso di necessita'.,喇叭只在必要时使用。,,,,,,no_image,WORD_000036
车辆部件,targa,车牌,TAR-ga,La targa deve essere leggibile.,车牌必须清晰可读。,,,,,,no_image,WORD_000037
车辆部件,assicurazione,保险,as-si-ku-ra-TSYO-ne,Il veicolo deve avere assicurazione valida.,车辆必须有有效保险。,,,,,,no_image,WORD_000038
车辆部件,revisione,年检 / 车辆检查,re-vi-ZYO-ne,La revisione periodica e' obbligatoria.,定期年检是强制的。,,,,,,no_image,WORD_000039
车辆部件,patente,驾照,pa-TEN-te,La patente deve essere valida per guidare.,驾驶时驾照必须有效。,,,,,,no_image,WORD_000040
交通参与者,pedone,行人,pe-DO-ne,Il pedone ha precedenza sulle strisce pedonali.,行人在斑马线上有优先权。,,,,,,no_image,WORD_000041
交通参与者,ciclista,骑自行车者,chi-KLI-sta,Il ciclista deve rispettare le norme della circolazione.,骑自行车者必须遵守交通规则。,,,,,,no_image,WORD_000042
交通参与者,motociclista,摩托车驾驶者,mo-to-chi-KLI-sta,Il motociclista deve indossare il casco.,摩托车驾驶者必须戴头盔。,,,,,,no_image,WORD_000043
交通参与者,passeggero,乘客,pas-sed-DJE-ro,Il passeggero deve usare la cintura quando prevista.,乘客在规定情况下必须系安全带。,,,,,,no_image,WORD_000044
交通参与者,conducente,驾驶员,kon-du-CHEN-te,Il conducente e' responsabile della sicurezza del veicolo.,驾驶员对车辆安全负责。,,,,,,no_image,WORD_000045
交通参与者,veicolo,车辆,VE-i-ko-lo,Ogni veicolo deve rispettare le regole della circolazione.,每辆车都必须遵守交通规则。,,,,,,no_image,WORD_000046
交通参与者,ambulanza,救护车,am-bu-LAN-tsa,Bisogna agevolare il passaggio dell'ambulanza in servizio.,必须方便执行任务的救护车通行。,,,,,,no_image,WORD_000047
交通参与者,autobus,公交车,AU-to-bus,Fare attenzione agli autobus in fermata.,注意停靠中的公交车。,,,,,,no_image,WORD_000048
交通参与者,autocarro,货车,au-to-KAR-ro,L'autocarro puo' avere spazi di frenata piu' lunghi.,货车制动距离可能更长。,,,,,,no_image,WORD_000049
交通参与者,scuolabus,校车,SKWO-la-bus,Prestare attenzione vicino a uno scuolabus fermo.,靠近停下的校车时要注意。,,,,,,no_image,WORD_000050
交通标志与图形 - 危险标志,strada deformata o dissestata,路面变形或损坏,,Figura n. 1: strada deformata o dissestata.,图形 1 表示：路面变形或损坏。,图形编号 s1；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s1.gif,rmastri.it,https://www.rmastri.it/42/immagini/s1.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000051
交通标志与图形 - 危险标志,dosso,凸起路面 / 坡顶,,Figura n. 2: dosso.,图形 2 表示：凸起路面 / 坡顶。,图形编号 s2；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s2.gif,rmastri.it,https://www.rmastri.it/42/immagini/s2.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000052
交通标志与图形 - 危险标志,cunetta,凹陷路面 / 路面下凹,,Figura n. 3: cunetta.,图形 3 表示：凹陷路面 / 路面下凹。,图形编号 s3；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s3.gif,rmastri.it,https://www.rmastri.it/42/immagini/s3.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000053
交通标志与图形 - 危险标志,curva a destra,右弯,,Figura n. 4: curva a destra.,图形 4 表示：右弯。,图形编号 s4；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s4.gif,rmastri.it,https://www.rmastri.it/42/immagini/s4.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000054
交通标志与图形 - 危险标志,curva a sinistra,左弯,,Figura n. 5: curva a sinistra.,图形 5 表示：左弯。,图形编号 s5；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s5.gif,rmastri.it,https://www.rmastri.it/42/immagini/s5.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000055
交通标志与图形 - 危险标志,"doppia curva, la prima a destra",连续弯道，第一个向右,,"Figura n. 6: doppia curva, la prima a destra.",图形 6 表示：连续弯道，第一个向右。,图形编号 s6；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s6.gif,rmastri.it,https://www.rmastri.it/42/immagini/s6.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000056
交通标志与图形 - 危险标志,"doppia curva, la prima a sinistra",连续弯道，第一个向左,,"Figura n. 7: doppia curva, la prima a sinistra.",图形 7 表示：连续弯道，第一个向左。,图形编号 s7；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s7.gif,rmastri.it,https://www.rmastri.it/42/immagini/s7.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000057
交通标志与图形 - 危险标志,passaggio a livello con barriere o semibarriere,有栏杆或半栏杆的铁路平交道口,,Figura n. 8: passaggio a livello con barriere o semibarriere.,图形 8 表示：有栏杆或半栏杆的铁路平交道口。,图形编号 s8；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s8.gif,rmastri.it,https://www.rmastri.it/42/immagini/s8.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000058
交通标志与图形 - 危险标志,passaggio a livello senza barriere,无栏杆铁路平交道口,,Figura n. 9: passaggio a livello senza barriere.,图形 9 表示：无栏杆铁路平交道口。,图形编号 s9；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s9.gif,rmastri.it,https://www.rmastri.it/42/immagini/s9.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000059
交通标志与图形 - 危险标志,croce di s. andrea,圣安德烈十字标志,,Figura n. 10: croce di s. andrea.,图形 10 表示：圣安德烈十字标志。,图形编号 s10；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s10.gif,rmastri.it,https://www.rmastri.it/42/immagini/s10.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000060
交通标志与图形 - 危险标志,doppia croce di s. andrea,双圣安德烈十字标志,,Figura n. 11: doppia croce di s. andrea.,图形 11 表示：双圣安德烈十字标志。,图形编号 s11；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s11.gif,rmastri.it,https://www.rmastri.it/42/immagini/s11.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000061
交通标志与图形 - 危险标志,pannelli distanziometrici,距离提示板,,Figura n. 13: pannelli distanziometrici.,图形 13 表示：距离提示板。,图形编号 s13；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s13.gif,rmastri.it,https://www.rmastri.it/42/immagini/s13.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000062
交通标志与图形 - 危险标志,attraversamento tranviario,有轨电车横穿,,Figura n. 14: attraversamento tranviario.,图形 14 表示：有轨电车横穿。,图形编号 s14；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s14.gif,rmastri.it,https://www.rmastri.it/42/immagini/s14.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000063
交通标志与图形 - 危险标志,attraversamento pedonale,人行横道,,Figura n. 15: attraversamento pedonale.,图形 15 表示：人行横道。,图形编号 s15；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s15.gif,rmastri.it,https://www.rmastri.it/42/immagini/s15.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000064
交通标志与图形 - 危险标志,attraversamento ciclabile,自行车横道,,Figura n. 16: attraversamento ciclabile.,图形 16 表示：自行车横道。,图形编号 s16；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s16.gif,rmastri.it,https://www.rmastri.it/42/immagini/s16.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000065
交通标志与图形 - 危险标志,discesa pericolosa con pendenza del 10 %,10% 危险下坡,,Figura n. 17: discesa pericolosa con pendenza del 10 %.,图形 17 表示：10% 危险下坡。,图形编号 s17；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s17.gif,rmastri.it,https://www.rmastri.it/42/immagini/s17.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000066
交通标志与图形 - 危险标志,salita ripida con pendenza del 10 %,10% 陡上坡,,Figura n. 18: salita ripida con pendenza del 10 %.,图形 18 表示：10% 陡上坡。,图形编号 s18；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s18.gif,rmastri.it,https://www.rmastri.it/42/immagini/s18.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000067
交通标志与图形 - 危险标志,strettoia simmetrica,道路两侧变窄,,Figura n. 19: strettoia simmetrica.,图形 19 表示：道路两侧变窄。,图形编号 s19；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s19.gif,rmastri.it,https://www.rmastri.it/42/immagini/s19.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000068
交通标志与图形 - 危险标志,strettoia asimmetrica a sinistra,左侧道路变窄,,Figura n. 20: strettoia asimmetrica a sinistra.,图形 20 表示：左侧道路变窄。,图形编号 s20；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s20.gif,rmastri.it,https://www.rmastri.it/42/immagini/s20.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000069
交通标志与图形 - 危险标志,strettoia asimmetrica a destra,右侧道路变窄,,Figura n. 21: strettoia asimmetrica a destra.,图形 21 表示：右侧道路变窄。,图形编号 s21；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s21.gif,rmastri.it,https://www.rmastri.it/42/immagini/s21.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000070
交通标志与图形 - 危险标志,ponte mobile,活动桥,,Figura n. 22: ponte mobile.,图形 22 表示：活动桥。,图形编号 s22；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s22.gif,rmastri.it,https://www.rmastri.it/42/immagini/s22.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000071
交通标志与图形 - 危险标志,banchina cedevole o non praticabile,路肩松软或不可通行,,Figura n. 23: banchina cedevole o non praticabile.,图形 23 表示：路肩松软或不可通行。,图形编号 s23；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s23.gif,rmastri.it,https://www.rmastri.it/42/immagini/s23.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000072
交通标志与图形 - 危险标志,strada sdrucciolevole,路面湿滑,,Figura n. 24: strada sdrucciolevole.,图形 24 表示：路面湿滑。,图形编号 s24；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s24.gif,rmastri.it,https://www.rmastri.it/42/immagini/s24.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000073
交通标志与图形 - 危险标志,attenzione ai bambini,注意儿童,,Figura n. 25: attenzione ai bambini.,图形 25 表示：注意儿童。,图形编号 s25；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s25.gif,rmastri.it,https://www.rmastri.it/42/immagini/s25.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000074
交通标志与图形 - 危险标志,attenzione agli animali domestici,注意家畜,,Figura n. 26: attenzione agli animali domestici.,图形 26 表示：注意家畜。,图形编号 s26；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s26.gif,rmastri.it,https://www.rmastri.it/42/immagini/s26.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000075
交通标志与图形 - 危险标志,attenzione agli animali selvatici,注意野生动物,,Figura n. 27: attenzione agli animali selvatici.,图形 27 表示：注意野生动物。,图形编号 s27；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s27.gif,rmastri.it,https://www.rmastri.it/42/immagini/s27.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000076
交通标志与图形 - 危险标志,doppio senso di circolazione,双向通行,,Figura n. 28: doppio senso di circolazione.,图形 28 表示：双向通行。,图形编号 s28；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s28.gif,rmastri.it,https://www.rmastri.it/42/immagini/s28.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000077
交通标志与图形 - 危险标志,preavviso di circolazione rotatoria,前方环岛预告,,Figura n. 29: preavviso di circolazione rotatoria.,图形 29 表示：前方环岛预告。,图形编号 s29；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s29.gif,rmastri.it,https://www.rmastri.it/42/immagini/s29.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000078
交通标志与图形 - 危险标志,sbocco su molo o su argine,道路通向码头或堤岸,,Figura n. 30: sbocco su molo o su argine.,图形 30 表示：道路通向码头或堤岸。,图形编号 s30；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s30.gif,rmastri.it,https://www.rmastri.it/42/immagini/s30.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000079
交通标志与图形 - 危险标志,materiale instabile sulla strada,路面有不稳定物料,,Figura n. 31: materiale instabile sulla strada.,图形 31 表示：路面有不稳定物料。,图形编号 s31；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s31.gif,rmastri.it,https://www.rmastri.it/42/immagini/s31.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000080
交通标志与图形 - 危险标志,caduta massi da sinistra,左侧落石,,Figura n. 32: caduta massi da sinistra.,图形 32 表示：左侧落石。,图形编号 s32；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s32.gif,rmastri.it,https://www.rmastri.it/42/immagini/s32.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000081
交通标志与图形 - 危险标志,caduta massi da destra,右侧落石,,Figura n. 33: caduta massi da destra.,图形 33 表示：右侧落石。,图形编号 s33；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s33.gif,rmastri.it,https://www.rmastri.it/42/immagini/s33.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000082
交通标志与图形 - 危险标志,preavviso di semaforo verticale,前方竖向交通灯预告,,Figura n. 34: preavviso di semaforo verticale.,图形 34 表示：前方竖向交通灯预告。,图形编号 s34；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s34.gif,rmastri.it,https://www.rmastri.it/42/immagini/s34.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000083
交通标志与图形 - 危险标志,preavviso di semaforo orizzontale,前方横向交通灯预告,,Figura n. 35: preavviso di semaforo orizzontale.,图形 35 表示：前方横向交通灯预告。,图形编号 s35；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s35.gif,rmastri.it,https://www.rmastri.it/42/immagini/s35.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000084
交通标志与图形 - 危险标志,aeromobili a bassa quota,低空飞行器,,Figura n. 36: aeromobili a bassa quota.,图形 36 表示：低空飞行器。,图形编号 s36；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s36.gif,rmastri.it,https://www.rmastri.it/42/immagini/s36.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000085
交通标志与图形 - 危险标志,forte vento laterale,强侧风,,Figura n. 37: forte vento laterale.,图形 37 表示：强侧风。,图形编号 s37；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s37.gif,rmastri.it,https://www.rmastri.it/42/immagini/s37.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000086
交通标志与图形 - 危险标志,pericolo di incendio,火灾危险,,Figura n. 38: pericolo di incendio.,图形 38 表示：火灾危险。,图形编号 s38；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s38.gif,rmastri.it,https://www.rmastri.it/42/immagini/s38.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000087
交通标志与图形 - 危险标志,altri pericoli,其他危险,,Figura n. 39: altri pericoli.,图形 39 表示：其他危险。,图形编号 s39；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s39.gif,rmastri.it,https://www.rmastri.it/42/immagini/s39.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000088
交通标志与图形 - 优先权标志,dare precedenza,让行,,Figura n. 40: dare precedenza.,图形 40 表示：让行。,图形编号 s40；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s40.gif,rmastri.it,https://www.rmastri.it/42/immagini/s40.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000089
交通标志与图形 - 优先权标志,fermarsi e dare precedenza (stop),停车并让行。,,Figura n. 41: fermarsi e dare precedenza (stop).,图形 41 表示车辆必须停车，并让有优先权的车辆先行。,图形编号 s41；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s41.gif,rmastri.it,https://www.rmastri.it/42/immagini/s41.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000090
交通标志与图形 - 优先权标志,preavviso di dare precedenza,让行预告,,Figura n. 42: preavviso di dare precedenza.,图形 42 表示：让行预告。,图形编号 s42；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s42.gif,rmastri.it,https://www.rmastri.it/42/immagini/s42.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000091
交通标志与图形 - 优先权标志,preavviso di fermarsi e dare precedenza (stop),停车让行预告。,,Figura n. 43: preavviso di fermarsi e dare precedenza (stop).,图形 43 表示前方有停车让行标志，需要提前减速准备停车。,图形编号 s43；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s43.gif,rmastri.it,https://www.rmastri.it/42/immagini/s43.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000092
交通标志与图形 - 优先权标志,intersezione con precedenza a destra,路口右侧来车优先,,Figura n. 44: intersezione con precedenza a destra.,图形 44 表示：路口右侧来车优先。,图形编号 s44；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s44.gif,rmastri.it,https://www.rmastri.it/42/immagini/s44.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000093
交通标志与图形 - 优先权标志,dare precedenza nei sensi unici alternati,交替单行路段让对向车先行,,Figura n. 45: dare precedenza nei sensi unici alternati.,图形 45 表示：交替单行路段让对向车先行。,图形编号 s45；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s45.gif,rmastri.it,https://www.rmastri.it/42/immagini/s45.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000094
交通标志与图形 - 优先权标志,fine del diritto di precedenza,优先通行权结束,,Figura n. 46: fine del diritto di precedenza.,图形 46 表示：优先通行权结束。,图形编号 s46；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s46.gif,rmastri.it,https://www.rmastri.it/42/immagini/s46.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000095
交通标志与图形 - 优先权标志,intersezione con diritto di precedenza,有优先权的交叉路口,,Figura n. 47: intersezione con diritto di precedenza.,图形 47 表示：有优先权的交叉路口。,图形编号 s47；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s47.gif,rmastri.it,https://www.rmastri.it/42/immagini/s47.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000096
交通标志与图形 - 优先权标志,intersezione a “t” con diritto di precedenza a destra,T 字路口，右侧来车享有优先通行权,,Figura n. 48: intersezione a “t” con diritto di precedenza a destra.,该图形表示：T 字路口，右侧来车享有优先通行权。,图形编号 s48；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s48.gif,rmastri.it,https://www.rmastri.it/42/immagini/s48.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000097
交通标志与图形 - 优先权标志,intersezione a “t” con diritto di precedenza a sinistra,T 字路口，左侧来车享有优先通行权,,Figura n. 49: intersezione a “t” con diritto di precedenza a sinistra.,该图形表示：T 字路口，左侧来车享有优先通行权。,图形编号 s49；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s49.gif,rmastri.it,https://www.rmastri.it/42/immagini/s49.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000098
交通标志与图形 - 优先权标志,confluenza a destra,右侧汇入,,Figura n. 50: confluenza a destra.,图形 50 表示：右侧汇入。,图形编号 s50；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s50.gif,rmastri.it,https://www.rmastri.it/42/immagini/s50.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000099
交通标志与图形 - 优先权标志,confluenza a sinistra,左侧汇入,,Figura n. 51: confluenza a sinistra.,图形 51 表示：左侧汇入。,图形编号 s51；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s51.gif,rmastri.it,https://www.rmastri.it/42/immagini/s51.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000100
交通标志与图形 - 优先权标志,diritto di precedenza,优先通行权,,Figura n. 52: diritto di precedenza.,图形 52 表示：优先通行权。,图形编号 s52；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s52.gif,rmastri.it,https://www.rmastri.it/42/immagini/s52.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000101
交通标志与图形 - 优先权标志,diritto di precedenza nei sensi unici alternati,交替单行路段优先通行权,,Figura n. 53: diritto di precedenza nei sensi unici alternati.,图形 53 表示：交替单行路段优先通行权。,图形编号 s53；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s53.gif,rmastri.it,https://www.rmastri.it/42/immagini/s53.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000102
交通标志与图形 - 禁止标志,divieto di transito da ambo i lati,双向禁止通行,,Figura n. 54: divieto di transito da ambo i lati.,图形 54 表示：双向禁止通行。,图形编号 s54；来源：WEBpatente definiz.js,https://www.rmastri.it/42/immagini/s54.gif,rmastri.it,https://www.rmastri.it/42/immagini/s54.gif,external image link; needs manual verification before commercial use,unverified_external_link,WORD_000103
